isin,wkn,ticker,valor,name,index,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2023,2022,2021,2020,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,asset,instrument,region,exchange
JE00B78NPW60,A1PCKA,00X0,,WisdomTree Industrial Metals - EUR Daily Hedged,Bloomberg Industrial Metals (EUR Hedged),2012-07-06,4250,11.643835616438356,Long-only,Jersey,USD,True,False,Accumulating,0.49,Swap based,15,False,,-3.54,1.24,0.14,-0.81,-2.78,-14.34,-10.8,4.7,-13.11,-6.5,27.45,13.06,,,16.51,22.9,20.12,-0.87,-0.16,0.05,-52.61,-18.92,-45.36,-45.36,,,,
JE00B24DMJ18,A0SVXX,9GAK,,WisdomTree Industrial Metals Longer Dated,Bloomberg Industrial Metals 3 Month Forward,2007-10-10,5981,16.386301369863013,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,1,False,,-1.08,0.78,0.84,0.36,-1.48,-13.56,8.79,24.42,-13.32,2.97,39.57,5.95,,,15.74,21.78,19.36,-0.86,0.13,0.23,-60.6,-17.24,-40.34,-40.34,,,,
IE000589MF42,A3EEYW,IITA,126710050,iShares Italy Government Bond UCITS ETF EUR (Acc),Bloomberg Italy Treasury Bond,2023-05-24,276,0.7561643835616438,Long-only,Ireland,EUR,False,True,Accumulating,0.2,Sampling,103,False,89,-1.13,-0.38,-0.19,2.93,4.56,,,,,,,,,,,,,,,,-4.47,,,,,,,
IE00B7LW6Y90,A1JXZH,IS0M,18570307,iShares Italy Government Bond UCITS ETF EUR (Dist),Bloomberg Italy Treasury Bond,2012-05-08,4309,11.805479452054794,Long-only,Ireland,EUR,False,True,Distributing,0.2,Sampling,782,False,89,-0.34,0.4,0.73,3.92,3.93,6.48,-12.35,4.03,9.14,-17.49,-2.99,7.54,2.12,2.21,6.51,7.63,7.4,0.99,-0.56,0.11,-21.14,-4.48,-20.98,-21.14,,,,
IE00BFMM9235,A2JGQJ,EDMA,41020679,iShares Italy Government Bond UCITS ETF USD Hedged (Acc),Bloomberg Italy Treasury Bond (USD Hedged),2018-04-19,2137,5.854794520547945,Long-only,Ireland,USD,True,True,Accumulating,0.22,Sampling,0,False,89,1.97,0.0,1.37,5.08,4.87,6.82,4.02,19.4,7.87,-10.13,5.66,-0.2,,,9.37,11.03,10.52,0.73,0.12,0.34,-12.5,-5.44,-12.5,-12.5,,,,
JE00BN7KB771,A3G8J5,OD7J,,WisdomTree Lean Hogs,Bloomberg Lean Hogs,2006-09-27,6359,17.421917808219177,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,4,False,,,,,,,,,,-25.48,18.1,34.22,-37.98,,,33.31,30.87,35.38,-0.06,0.31,-0.19,-92.76,-30.45,-44.79,-69.73,,,,
IE00B6YX5M31,A1JKSU,SYBJ,13975758,SPDR Bloomberg Euro High Yield Bond UCITS ETF,Bloomberg Liquidity Screened Euro High Yield Bond,2012-02-03,4404,12.065753424657535,Long-only,Ireland,EUR,False,True,Distributing,0.4,Sampling,483,False,452,1.34,0.88,1.22,5.04,7.57,9.99,2.38,12.18,11.82,-11.08,2.92,1.66,5.77,5.99,3.12,4.33,5.79,3.21,0.18,0.4,-21.26,-2.14,-16.37,-21.26,,,,
GB00B15KY096,A0KRKZ,OD7K,,WisdomTree Live Cattle,Bloomberg Live Cattle,2006-09-27,6359,17.421917808219177,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,1,False,,11.94,-0.48,6.26,6.98,2.28,13.97,35.64,0.32,5.25,9.45,7.03,-25.65,,,14.37,13.93,17.2,0.97,0.77,0.0,-51.09,-15.53,-15.53,-33.28,,,,
LU2008760592,A2PP8B,ASR3,50465489,BNP Paribas Easy EUR Corporate Bond SRI PAB 1-3Y UCITS ETF,Bloomberg MSCI 1-3Y Euro Corporate SRI Sustainable Select Ex Fossil Fuel PAB,2019-10-04,1604,4.394520547945206,Long-only,Luxembourg,EUR,False,False,Distributing,0.2,Full replication,1216,True,431,0.0,0.21,0.31,1.79,2.76,4.2,-1.25,,4.53,-5.34,-0.2,0.5,0.93,0.96,1.91,1.98,,2.19,-0.21,,-7.03,-0.64,-7.03,,,,,
LU2008761053,A2PP8C,ASR5,50465500,BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,Bloomberg MSCI 3-5Y Euro Corporate SRI Sustainable Select Ex Fossil Fuel PAB,2019-10-04,1604,4.394520547945206,Long-only,Luxembourg,EUR,False,False,Distributing,0.2,Full replication,874,True,500,-0.54,0.44,0.33,3.04,4.09,5.53,-6.26,,6.59,-11.22,-0.7,1.6,0.98,1.03,3.86,4.02,,1.43,-0.53,,-14.37,-1.37,-14.37,,,,,
LU2446383338,A3DZEN,ASRX,120971343,BNP Paribas Easy EUR Corporate Bond SRI PAB 3-5Y UCITS ETF,Bloomberg MSCI 3-5Y Euro Corporate SRI Sustainable Select Ex Fossil Fuel PAB,2022-10-27,485,1.3287671232876712,Long-only,Luxembourg,EUR,False,False,Accumulating,0.2,Full replication,7,True,500,-0.47,0.38,0.38,2.99,4.09,5.53,,,7.08,,,,,,3.82,,,1.45,,,-2.81,-1.37,,,,,,
IE000GUOATN7,A3EGGL,IB25,127362362,iShares iBonds Dec 2025 Term EUR Corporate UCITS ETF EUR (Acc),Bloomberg MSCI December 2025 Maturity EUR Corporate ESG Screened,2023-09-06,171,0.4684931506849315,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,191,True,362,0.39,0.2,0.39,1.59,,,,,,,,,,,,,,,,,-1.58,,,,,,,
IE000NXQKHU1,A3EFXA,CEBH,127362348,iShares iBonds Dec 2025 Term EUR Corporate UCITS ETF EUR (Dist),Bloomberg MSCI December 2025 Maturity EUR Corporate ESG Screened,2023-11-20,96,0.26301369863013696,Long-only,Ireland,EUR,False,False,Distributing,0.12,Sampling,12,True,362,0.4,0.4,0.4,1.54,,,,,,,,,,,,,,,,,-0.2,,,,,,,
IE0000X2DXK3,A3EHAQ,CEBF,127362380,iShares iBonds Dec 2025 Term USD Corporate UCITS ETF USD (Acc),Bloomberg MSCI December 2025 Maturity USD Corporate ESG Screened,2023-09-06,171,0.4684931506849315,Long-only,Ireland,USD,False,False,Accumulating,0.12,Sampling,151,True,504,2.6,-0.32,0.77,2.72,,,,,,,,,,,,,,,,,-3.27,,,,,,,
IE000WA6L436,A3EHAJ,CEBE,127362329,iShares iBonds Dec 2026 Term EUR Corporate UCITS ETF EUR (Acc),Bloomberg MSCI December 2026 Maturity EUR Corporate ESG Screened,2023-09-05,172,0.4712328767123288,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,246,True,362,-0.19,0.19,0.19,1.98,,,,,,,,,,,,,,,,,-0.78,,,,,,,
IE000SIZJ2B2,A3D8E3,IB26,125531414,iShares iBonds Dec 2026 Term EUR Corporate UCITS ETF EUR (Dist),Bloomberg MSCI December 2026 Maturity EUR Corporate ESG Screened,2023-08-09,199,0.5452054794520548,Long-only,Ireland,EUR,False,False,Distributing,0.12,Sampling,326,True,362,-0.39,0.2,0.2,1.76,2.22,,,,,,,,,,,,,,,,-1.14,,,,,,,
IE000BWITBP9,A3D8E1,D26A,125529903,iShares iBonds Dec 2026 Term USD Corporate UCITS ETF USD (Acc),Bloomberg MSCI December 2026 Maturity USD Corporate ESG Screened,2023-08-10,198,0.5424657534246575,Long-only,Ireland,USD,False,False,Accumulating,0.12,Sampling,81,True,463,2.16,-0.37,0.55,2.98,3.55,,,,,,,,,,,,,,,,-2.88,,,,,,,
IE0007UPSEA3,A3D8E0,CBU8,125529897,iShares iBonds Dec 2026 Term USD Corporate UCITS ETF USD (Dist),Bloomberg MSCI December 2026 Maturity USD Corporate ESG Screened,2023-08-10,198,0.5424657534246575,Long-only,Ireland,USD,False,False,Distributing,0.12,Sampling,57,True,463,2.18,-0.42,0.64,3.09,3.67,,,,,,,,,,,,,,,,-3.17,,,,,,,
IE000ZOI8OK5,A3EGGM,IB27,127357098,iShares iBonds Dec 2027 Term EUR Corporate UCITS ETF EUR (Acc),Bloomberg MSCI December 2027 Maturity EUR Corporate ESG Screened,2023-09-06,171,0.4684931506849315,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,205,True,338,-0.38,0.58,0.39,2.57,,,,,,,,,,,,,,,,,-1.39,,,,,,,
IE000H5X52W8,A3EFXB,CEBD,127356171,iShares iBonds Dec 2027 Term EUR Corporate UCITS ETF EUR (Dist),Bloomberg MSCI December 2027 Maturity EUR Corporate ESG Screened,2023-11-20,96,0.26301369863013696,Long-only,Ireland,EUR,False,False,Distributing,0.12,Sampling,21,True,338,-0.39,0.39,0.2,2.55,,,,,,,,,,,,,,,,,-0.97,,,,,,,
IE000I1D7D10,A3EHAL,CEBK,127356805,iShares iBonds Dec 2027 Term USD Corporate UCITS ETF USD (Acc),Bloomberg MSCI December 2027 Maturity USD Corporate ESG Screened,2023-09-06,171,0.4684931506849315,Long-only,Ireland,USD,False,False,Accumulating,0.12,Sampling,74,True,405,1.73,-0.33,0.36,3.24,,,,,,,,,,,,,,,,,-2.29,,,,,,,
IE0008UEVOE0,A3EHAK,IVOA,127362353,iShares iBonds Dec 2028 Term EUR Corporate UCITS ETF EUR (Acc),Bloomberg MSCI December 2028 Maturity EUR Corporate ESG Screened,2023-09-05,172,0.4712328767123288,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,174,True,319,-0.57,0.58,0.39,3.17,,,,,,,,,,,,,,,,,-1.33,,,,,,,
IE000264WWY0,A3D8E7,IB28,125531352,iShares iBonds Dec 2028 Term EUR Corporate UCITS ETF EUR (Dist),Bloomberg MSCI December 2028 Maturity EUR Corporate ESG Screened,2023-08-09,199,0.5452054794520548,Long-only,Ireland,EUR,False,False,Distributing,0.12,Sampling,548,True,319,-0.78,0.39,0.39,2.95,3.63,,,,,,,,,,,,,,,,-1.55,,,,,,,
IE0000UJ3480,A3D8E5,CBU5,125531491,iShares iBonds Dec 2028 Term USD Corporate UCITS ETF USD (Acc),Bloomberg MSCI December 2028 Maturity USD Corporate ESG Screened,2023-08-10,198,0.5424657534246575,Long-only,Ireland,USD,False,False,Accumulating,0.12,Sampling,148,True,410,1.47,-0.23,0.42,3.65,4.31,,,,,,,,,,,,,,,,-2.02,,,,,,,
IE0000VITHT2,A3D8E4,CBU4,125531431,iShares iBonds Dec 2028 Term USD Corporate UCITS ETF USD (Dist),Bloomberg MSCI December 2028 Maturity USD Corporate ESG Screened,2023-08-09,199,0.5452054794520548,Long-only,Ireland,USD,False,False,Distributing,0.12,Sampling,97,True,410,1.73,-0.21,0.43,3.72,4.53,,,,,,,,,,,,,,,,-2.15,,,,,,,
IE000MCVFK47,DBX0N7,XGBE,112108812,Xtrackers EUR Corporate Green Bond UCITS ETF 1C,Bloomberg MSCI EUR Corporate and Agency Green Bond,2021-06-24,975,2.671232876712329,Long-only,Ireland,EUR,False,False,Accumulating,0.25,Optimized sampling,170,True,468,-0.46,0.58,0.66,3.35,4.3,5.7,,,8.04,-16.86,,,,,4.74,,,1.2,,,-20.53,-1.88,,,,,,
IE00B6X2VY59,A1J5ST,IS0Y,19893843,iShares EUR Corporate Bond Interest Rate Hedged ESG UCITS ETF,Bloomberg MSCI EUR Corporate Interest Rate Hedged Sustainable SRI,2012-10-22,4142,11.347945205479451,Long-only,Ireland,EUR,False,True,Distributing,0.25,Sampling,238,True,1901,1.58,0.49,1.2,2.74,4.48,6.03,3.19,7.34,5.43,-3.33,-0.25,0.79,2.48,2.57,1.96,2.05,2.45,3.07,0.51,0.58,-8.34,-2.29,-7.14,-7.95,,,,
IE000QADMYA3,A3DJRH,V3RE,118049937,Vanguard ESG EUR Corporate Bond UCITS ETF (EUR) Accumulating,Bloomberg MSCI EUR Corporate Liquid Bond Screened,2022-11-15,466,1.2767123287671234,Long-only,Ireland,EUR,False,False,Accumulating,0.11,Sampling,58,True,653,-0.37,0.56,0.56,3.28,4.49,5.94,,,6.97,,,,,,4.5,,,1.32,,,-3.49,-1.56,,,,,,
IE000F37PGZ3,A3DJRJ,V3RF,118049938,Vanguard ESG EUR Corporate Bond UCITS ETF (EUR) Distributing,Bloomberg MSCI EUR Corporate Liquid Bond Screened,2022-11-15,466,1.2767123287671234,Long-only,Ireland,EUR,False,False,Distributing,0.11,Sampling,20,True,653,-0.62,0.59,0.39,3.26,4.23,5.74,,,8.12,,,,3.33,3.41,4.45,,,1.29,,,-3.44,-1.56,,,,,,
IE000UQLOH05,A3DJRG,V3RP,118049936,Vanguard ESG EUR Corporate Bond UCITS ETF GBP Hedged Accumulating,Bloomberg MSCI EUR Corporate Liquid Bond Screened (GBP Hedged),2022-11-15,466,1.2767123287671234,Long-only,Ireland,GBP,True,False,Accumulating,0.16,Sampling,3,True,653,1.59,0.79,0.79,5.46,5.46,10.78,,,10.78,,,,,,6.82,,,1.58,,,-6.18,-2.97,,,,,,
LU1829218822,LYX0Z3,LYBF,42764457,Amundi EUR Corporate Bond ex-Financials ESG UCITS ETF Acc,Bloomberg MSCI EUR Corporate Liquid ex Financial SRI Sustainable,2009-11-04,5225,14.315068493150685,Long-only,Luxembourg,EUR,False,False,Accumulating,0.14,Sampling,63,True,667,-0.76,0.51,0.53,3.22,3.87,5.31,-9.43,-4.39,7.34,-14.21,-1.65,2.97,,,5.09,5.18,5.15,1.04,-0.63,-0.17,-17.65,-2.53,-17.65,-17.65,,,,
IE00BF5GB717,A2JBMD,EFRN,39764202,iShares EUR Floating Rate Bond ESG UCITS ETF EUR (Dist),Bloomberg MSCI EUR FRN Corporate 3% Issuer Cap Bond Sustainable SRI,2018-06-27,2068,5.6657534246575345,Long-only,Ireland,EUR,False,False,Distributing,0.1,Sampling,418,True,83,0.99,0.2,0.59,1.39,2.59,4.61,4.61,5.25,4.21,-0.4,-0.2,0.0,2.91,2.95,1.09,1.02,1.03,4.25,1.49,0.99,-2.79,-0.6,-1.0,-2.79,,,,
LU2533812991,A3D6K9,BJLF,,BNP Paribas Easy EUR Aggregate Bond SRI Fossil Free UCITS ETF Capitalisation,Bloomberg MSCI Euro Aggregate ex Fossil Fuel SRI Select,2023-02-02,387,1.0602739726027397,Long-only,Luxembourg,EUR,False,False,Accumulating,0.15,Full replication,104,True,874,-1.17,0.39,0.3,3.14,3.56,4.63,,,,,,,,,5.89,,,0.79,,,-3.53,-3.33,,,,,,
LU2533812728,A3D6K8,BJLD,,BNP Paribas Easy EUR Aggregate Bond SRI Fossil Free UCITS ETF Distribution,Bloomberg MSCI Euro Aggregate ex Fossil Fuel SRI Select,2023-02-02,387,1.0602739726027397,Long-only,Luxembourg,EUR,False,False,Distributing,0.15,Full replication,1,True,874,-1.07,0.49,0.39,3.25,3.67,4.73,,,,,,,0.0,0.0,5.91,,,0.8,,,-3.53,-3.33,,,,,,
IE000CR3ZDF9,A3ECDC,CBU2,126351519,iShares EUR Aggregate Bond ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Aggregate Sustainable and Green Bond SRI,2023-04-26,304,0.8328767123287671,Long-only,Ireland,EUR,False,True,Accumulating,0.16,Sampling,106,True,4576,-1.33,0.19,0.19,2.98,3.39,,,,,,,,,,,,,,,,-3.17,,,,,,,
IE00B3DKXQ41,A0RGEN,EUN4,10012758,iShares EUR Aggregate Bond ESG UCITS ETF EUR (Dist),Bloomberg MSCI Euro Aggregate Sustainable and Green Bond SRI,2009-03-06,5468,14.98082191780822,Long-only,Ireland,EUR,False,True,Distributing,0.16,Sampling,1810,True,4576,-1.16,0.36,0.34,3.12,3.45,4.68,-13.71,-7.74,7.08,-17.29,-3.07,3.75,1.63,1.68,5.87,6.09,5.24,0.8,-0.79,-0.3,-20.6,-3.29,-19.93,-20.6,,,,
LU2182388236,A2P6TL,PR10,55428203,Amundi Index Euro Aggregate SRI UCITS ETF DR (C),Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,2020-07-07,1327,3.6356164383561644,Long-only,Luxembourg,EUR,False,False,Accumulating,0.16,Sampling,912,True,3337,-1.16,0.37,0.37,3.16,3.48,4.62,-13.78,,6.96,-17.28,-3.08,,,,5.84,6.1,,0.79,-0.79,,-20.57,-3.31,-19.9,,,,,
LU2439113387,A3DEGS,9E0E,116568856,Amundi Index Euro Aggregate SRI UCITS ETF DR (D),Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral,2022-03-10,716,1.9616438356164383,Long-only,Luxembourg,EUR,False,False,Distributing,0.16,Sampling,356,True,3337,-1.22,0.32,0.32,3.09,3.42,4.57,,,6.95,,,,1.62,1.67,5.86,,,0.78,,,-13.27,-3.32,,,,,,
LU2368674045,A3CV8Z,EAHG,112870292,Amundi Index Euro Aggregate SRI UCITS ETF DR Hedged GBP (C),Bloomberg MSCI Euro Aggregate Sustainable SRI Sector Neutral (GBP Hedged),2021-10-05,872,2.389041095890411,Long-only,Luxembourg,GBP,True,False,Accumulating,0.18,Sampling,0,True,3337,0.56,0.5,0.37,5.09,4.35,9.2,,,10.75,-21.22,,,,,7.89,,,1.17,,,-22.71,-4.1,,,,,,
LU1805389258,A2JLRU,UIQL,41495618,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates 1-5 Year Sustainable UCITS ETF (EUR) A-dis,Bloomberg MSCI Euro Area Liquid Corporates 1-5 Year Sustainable,2018-05-31,2095,5.739726027397261,Long-only,Luxembourg,EUR,False,False,Distributing,0.12,Sampling,30,True,265,-0.17,0.39,0.31,2.5,3.63,4.98,-3.62,-2.3,6.36,-8.56,-1.0,0.46,2.98,3.03,2.95,2.99,2.49,1.69,-0.41,-0.19,-11.15,-0.89,-10.67,-11.15,,,,
LU1484799843,A2AQ6E,4UBF,34159505,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF (EUR) A-acc,Bloomberg MSCI Euro Area Liquid Corporates Sustainable,2017-11-30,2277,6.238356164383561,Long-only,Luxembourg,EUR,False,False,Accumulating,0.13,Sampling,588,True,715,-0.36,0.58,0.73,3.81,4.99,6.2,-9.69,-2.73,8.74,-16.11,-1.36,3.06,,,4.89,5.25,4.79,1.27,-0.64,-0.12,-20.35,-1.88,-20.35,-20.35,,,,
LU1484799769,A2AQ6D,UIMC,34159374,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF (EUR) A-dis,Bloomberg MSCI Euro Area Liquid Corporates Sustainable,2017-01-17,2594,7.1068493150684935,Long-only,Luxembourg,EUR,False,False,Distributing,0.13,Sampling,688,True,715,-0.36,0.63,0.72,3.86,5.04,6.26,-9.69,-2.67,8.74,-16.07,-1.39,3.06,2.65,2.74,4.86,5.29,4.86,1.29,-0.63,-0.11,-20.31,-1.93,-20.31,-20.31,,,,
LU1484800955,A2AQ6Q,CBSEUS,34159519,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF (hedged to CHF) A-acc,Bloomberg MSCI Euro Area Liquid Corporates Sustainable (CHF Hedged),2017-11-30,2277,6.238356164383561,Long-only,Luxembourg,CHF,True,False,Accumulating,0.16,Sampling,44,True,715,-3.53,-0.3,-0.52,3.64,4.69,7.47,-0.96,10.49,12.95,-12.35,2.49,3.09,,,8.27,8.62,7.5,0.9,-0.04,0.27,-15.74,-3.95,-15.74,-15.74,,,,
LU1484799926,A2AQ6F,CBSEUD,34159507,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF (hedged to USD) A-dis,Bloomberg MSCI Euro Area Liquid Corporates Sustainable (USD Hedged),2020-08-05,1298,3.5561643835616437,Long-only,Luxembourg,USD,True,False,Distributing,0.16,Sampling,32,True,715,1.52,-0.92,1.1,4.87,7.26,6.54,6.39,,7.23,-8.73,7.62,,2.96,3.04,8.55,9.4,,0.77,0.22,,-11.84,-4.74,-11.84,,,,,
IE000AK4O3W6,A3DLEG,IE3E,118849290,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,2022-05-25,640,1.7534246575342465,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Sampling,495,True,1200,0.2,0.2,0.2,1.58,2.6,4.06,,,4.49,,,,,,1.7,,,2.38,,,-2.8,-0.41,,,,,,
IE00BYZTVV78,A142NU,QDVL,30593752,iShares EUR Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),Bloomberg MSCI Euro Corporate 0-3 Sustainable SRI,2016-01-07,2970,8.136986301369863,Long-only,Ireland,EUR,False,False,Distributing,0.12,Sampling,2887,True,1200,0.0,0.0,0.2,1.45,2.43,4.11,0.4,1.31,4.55,-3.71,-0.27,0.23,1.95,1.99,1.81,1.82,1.6,2.27,0.07,0.16,-5.11,-0.44,-5.11,-5.11,,,,
LU1525418643,A2DJET,A4H7,34736458,Amundi EUR Corporate Bomd 1-5Y ESG UCITS ETF DR,Bloomberg MSCI Euro Corporate 1-5 Year ESG Sustainability SRI,2017-01-24,2587,7.087671232876712,Long-only,Luxembourg,EUR,False,False,Accumulating,0.2,Sampling,461,True,1503,-0.18,0.34,0.32,2.32,3.4,4.93,-3.13,0.32,6.48,-8.79,-0.06,1.02,,,2.57,2.66,2.39,1.92,-0.4,0.03,-11.14,-0.81,-11.14,-11.14,,,,
IE00BKT6BH25,A2PRGZ,IX5A,49876416,iShares EUR Corporate Bond ex-Financials 1-5yr ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate Bond ex-Financials 1-5 Year Sustainable SRI,2019-09-26,1612,4.416438356164384,Long-only,Ireland,EUR,False,True,Accumulating,0.2,Sampling,50,True,804,-0.62,0.0,0.0,1.68,2.98,4.09,-3.78,,5.18,-7.77,-0.4,0.8,,,3.04,3.0,,1.34,-0.42,,-9.49,-1.27,-9.49,,,,,
IE00B4L5ZY03,A0RPWP,EUNS,10608592,iShares EUR Corporate Bond ex-Financials 1-5yr ESG UCITS ETF EUR (Dist),Bloomberg MSCI Euro Corporate Bond ex-Financials 1-5 Year Sustainable SRI,2009-09-25,5265,14.424657534246576,Long-only,Ireland,EUR,False,True,Distributing,0.2,Sampling,1080,True,804,-0.41,0.25,0.19,1.94,2.71,4.1,-3.64,-1.42,5.18,-7.9,-0.37,0.81,1.69,1.73,2.81,2.78,2.42,1.46,-0.44,-0.12,-9.49,-1.34,-9.49,-9.49,,,,
IE000SE6KPV2,A3DE70,IPAB,117855501,iShares EUR Corporate Bond ESG Paris-Aligned Climate UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate Climate Paris Aligned ESG Select,2022-06-09,625,1.7123287671232876,Long-only,Ireland,EUR,False,False,Accumulating,0.15,Sampling,38,True,2139,-0.39,0.39,0.59,3.21,4.46,5.75,,,7.71,,,,,,4.31,,,1.33,,,-9.13,-1.62,,,,,,
IE000ZX8CQG2,A3DG8Q,CBUJ,117855492,iShares EUR Corporate Bond ESG Paris-Aligned Climate UCITS ETF EUR (Dist),Bloomberg MSCI Euro Corporate Climate Paris Aligned ESG Select,2022-06-09,625,1.7123287671232876,Long-only,Ireland,EUR,False,False,Distributing,0.15,Sampling,1292,True,2139,-0.49,0.41,0.62,3.22,4.3,5.78,,,7.87,,,,3.32,3.4,4.39,,,1.32,,,-9.14,-1.5,,,,,,
LU2037748774,A2PQEM,ECR3,49499582,Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),Bloomberg MSCI Euro Corporate ESG BB+ Sustainability SRI 0-3 Year,2019-09-03,1635,4.47945205479452,Long-only,Luxembourg,EUR,False,False,Accumulating,0.12,Sampling,1990,True,1137,0.18,0.2,0.3,1.55,2.57,4.06,0.24,,4.37,-3.9,-0.24,0.5,,,1.26,1.35,,3.22,0.06,,-5.13,-0.39,-5.13,,,,,
LU1681039647,A2H57V,TCC4,38785162,Amundi Index Euro Corporate SRI UCITS ETF 2 DR EUR (C),Bloomberg MSCI Euro Corporate ESG Sustainability SRI,2018-04-05,2151,5.8931506849315065,Long-only,Luxembourg,EUR,False,False,Accumulating,0.16,Sampling,461,True,2661,-0.44,0.49,0.55,3.25,4.31,5.66,-8.58,-3.8,7.64,-13.79,-1.86,2.66,,,4.25,4.52,4.22,1.33,-0.65,-0.18,-17.57,-1.63,-17.42,-17.57,,,,
LU1437018168,A2ATY6,A4H8,34333488,Amundi Index Euro Corporate SRI UCITS ETF DR (C),Bloomberg MSCI Euro Corporate ESG Sustainability SRI,2016-11-11,2661,7.2904109589041095,Long-only,Luxembourg,EUR,False,False,Accumulating,0.14,Sampling,3256,True,2661,-0.44,0.48,0.54,3.25,4.33,5.67,-8.17,-2.65,7.66,-13.79,-1.19,2.47,,,4.24,4.54,4.1,1.34,-0.62,-0.13,-17.4,-1.64,-17.4,-17.4,,,,
LU1737653987,A2H9Q5,DECR,39558000,Amundi Index Euro Corporate SRI UCITS ETF DR (D),Bloomberg MSCI Euro Corporate ESG Sustainability SRI,2018-02-06,2209,6.052054794520548,Long-only,Luxembourg,EUR,False,False,Distributing,0.14,Sampling,548,True,2661,-0.42,0.51,0.56,3.27,4.33,5.7,-8.14,-2.62,7.66,-13.78,-1.19,2.46,1.71,1.78,4.24,4.51,4.16,1.35,-0.62,-0.13,-17.39,-1.61,-17.39,-17.39,,,,
LU2469335884,A3DKJ9,AHYC,118354900,Amundi Index Euro Corporate SRI UCITS ETF DR Hedged USD (C),Bloomberg MSCI Euro Corporate ESG Sustainability SRI (USD Hedged),2022-06-01,633,1.7342465753424658,Long-only,Luxembourg,USD,True,False,Accumulating,0.18,Sampling,5,True,2661,1.9,0.04,1.12,4.48,5.14,5.75,,,6.22,,,,,,8.14,,,0.71,,,-12.09,-4.6,,,,,,
IE000H92C4B8,A3EVC6,HYPE,129431626,iShares EUR High Yield Corporate Bond ESG Paris-Aligned Climate UCITS ETF EUR (Dist),Bloomberg MSCI Euro Corporate High Yield Climate Paris Aligned ESG,2023-12-06,80,0.2191780821917808,Long-only,Ireland,EUR,False,False,Distributing,0.25,Optimized sampling,244,True,371,0.59,0.98,1.18,,,,,,,,,,,,,,,,,,-1.17,,,,,,,
LU2346257210,LYX9ZQ,HYC,,Lyxor ESG Euro High Yield (DR) UCITS ETF - Acc,Bloomberg MSCI Euro Corporate High Yield SRI Sustainable,2021-06-22,977,2.6767123287671235,Long-only,Luxembourg,EUR,False,False,Accumulating,0.25,Sampling,34,True,340,0.1,0.31,0.52,3.74,6.12,6.7,,,9.73,-11.33,,,,,2.61,,,2.57,,,-16.83,-2.64,,,,,,
LU1812090543,LYX0YX,LYQY,42745975,Lyxor ESG Euro High Yield (DR) UCITS ETF - Dist,Bloomberg MSCI Euro Corporate High Yield SRI Sustainable,2011-01-06,4797,13.142465753424657,Long-only,Luxembourg,EUR,False,False,Distributing,0.25,Sampling,220,True,340,0.73,0.78,0.91,4.24,6.58,7.43,-1.16,7.56,9.76,-11.38,1.73,1.34,3.32,3.45,2.58,5.05,6.55,2.88,-0.08,0.22,-20.98,-2.6,-16.82,-20.98,,,,
IE00BJK55C48,A2PNZM,AYE2,49041087,iShares EUR High Yield Corporate Bond ESG UCITS ETF EUR (Acc),Bloomberg MSCI Euro Corporate High Yield Sustainable BB+ SRI Bond,2019-11-12,1565,4.287671232876712,Long-only,Ireland,EUR,False,False,Accumulating,0.25,Sampling,2027,True,406,1.17,0.97,1.17,4.85,7.45,8.81,0.78,,10.8,-10.96,2.16,0.59,,,3.16,4.42,,2.79,0.06,,-20.47,-2.52,-16.54,,,,,
